unit,cycle,Nc,NRc,T50,T30,htBleed,P30,phi,T24,Ps30,W31,W32,NRf,Nf,BPR,RUL
1,16,9049.34,8136.11,1404.5,1587.98,392,553.94,521.49,642.13,47.24,38.97,23.455,2388.07,2388.05,8.3936,125
1,17,9054.92,8137.27,1399.95,1584.96,392,553.8,521.89,642.58,47.12,38.81,23.3319,2388.04,2388.06,8.4542,125
1,18,9049.55,8132.73,1396.12,1591.04,392,554.2,521.76,642.62,47.21,38.89,23.3987,2388.07,2388.05,8.4028,125
1,19,9053.99,8129.13,1400.35,1587.56,391,554.18,521.89,641.79,47.4,38.8,23.3464,2388.03,2388.04,8.4321,125
1,20,9045.9,8129.71,1405.23,1581.11,392,554.81,522.07,643.04,47.22,39.03,23.422,2388.02,2388.05,8.421,125
1,21,9048.15,8134.02,1398.13,1586.07,392,554.08,522.42,642.37,47.15,39.09,23.3101,2388.08,2388.11,8.4049,125
1,22,9061.21,8130.41,1400.57,1592.93,392,553.63,522.0,642.77,47.24,38.92,23.3792,2388.03,2388.04,8.4034,125
1,23,9046.28,8127.9,1394.75,1588.19,392,553.98,521.52,642.14,47.25,38.94,23.4562,2388.05,2388.05,8.424,125
1,24,9043.76,8133.88,1398.81,1590.83,392,553.49,522.13,642.38,47.44,39.0,23.3696,2388.03,2388.12,8.3891,125
1,25,9054.16,8136.61,1399.39,1594.1,393,554.0,522.56,642.77,47.36,38.95,23.4288,2388.02,2388.02,8.3917,125
1,26,9047.11,8131.15,1396.07,1589.08,394,554.11,522.28,642.16,47.26,38.86,23.4149,2388.06,2388.07,8.426,125
1,27,9047.96,8134.6,1401.84,1590.47,393,554.07,522.0,642.44,47.37,38.99,23.4472,2388.13,2388.02,8.4046,125
1,28,9049.84,8127.3,1399.13,1582.84,390,554.68,522.57,642.35,47.41,39.01,23.2841,2388.08,2388.12,8.4323,125
1,29,9050.47,8133.06,1400.99,1584.83,393,554.25,522.41,641.91,47.24,38.93,23.3597,2388.06,2388.05,8.4189,125
1,30,9045.62,8137.86,1396.08,1593.52,390,554.37,522.19,642.2,47.4,39.05,23.411,2388.0,2388.07,8.4065,125
1,31,9058.78,8125.28,1396.9,1584.18,392,554.13,521.95,642.02,47.41,38.94,23.3353,2388.06,2388.08,8.4104,125
1,32,9050.97,8129.7,1400.36,1591.38,392,554.96,521.92,642.33,47.25,39.02,23.4999,2388.07,2388.04,8.4148,125
1,33,9047.13,8134.42,1402.43,1588.4,392,554.61,521.91,642.71,47.28,38.83,23.3506,2388.08,2388.04,8.3753,125
1,34,9046.46,8126.61,1400.48,1581.47,392,554.3,521.7,642.54,47.47,38.81,23.3092,2388.09,2388.03,8.4349,125
1,35,9045.76,8140.17,1403.0,1590.0,391,554.3,521.75,642.44,47.31,39.13,23.4164,2388.01,2388.04,8.443,125
1,36,9044.56,8132.48,1405.54,1581.72,392,554.53,522.32,642.54,47.25,38.86,23.4308,2388.04,2388.01,8.4246,125
1,37,9055.44,8131.95,1398.9,1579.11,392,554.63,522.29,641.99,47.29,38.99,23.4352,2388.04,2388.07,8.4142,125
1,38,9055.27,8136.61,1399.5,1589.6,392,554.7,522.42,641.93,47.27,39.06,23.4768,2388.08,2388.08,8.4158,125
1,39,9051.76,8131.81,1400.69,1583.21,392,553.97,522.23,642.01,47.12,38.7,23.3699,2388.05,2388.02,8.414,125
1,40,9052.98,8131.03,1401.77,1582.08,392,554.57,521.84,642.24,47.33,38.84,23.3769,2388.01,2388.06,8.3784,125
1,41,9048.99,8138.08,1403.21,1591.31,392,553.72,522.07,642.4,47.09,39.13,23.4444,2388.03,2388.06,8.437,125
1,42,9057.06,8130.88,1401.38,1584.66,392,553.94,522.23,642.12,47.49,39.0,23.375,2388.05,2388.08,8.4137,125
1,43,9057.88,8127.22,1406.05,1591.52,392,553.68,522.74,642.24,47.32,38.99,23.3148,2388.09,2388.03,8.4068,125
1,44,9046.87,8131.45,1401.2,1586.94,392,554.15,522.3,641.93,47.45,39.06,23.4753,2388.0,2388.04,8.4201,125
1,45,9060.32,8128.31,1399.16,1582.42,393,553.83,521.73,642.53,47.45,38.79,23.3943,2388.05,2388.08,8.4099,125
1,46,9060.38,8128.71,1401.27,1588.29,393,553.76,522.02,642.43,47.2,38.93,23.3745,2388.08,2388.06,8.3977,125
1,47,9052.04,8126.21,1402.89,1580.32,392,554.38,521.84,642.21,47.22,38.99,23.4873,2388.05,2388.06,8.3973,125
1,48,9045.26,8129.99,1399.16,1588.51,392,554.02,521.91,641.89,47.4,38.94,23.365,2388.06,2388.08,8.4376,125
1,49,9050.64,8135.48,1397.76,1584.35,392,554.23,521.37,642.23,47.22,39.06,23.4498,2388.04,2388.07,8.4151,125
1,50,9048.6,8127.3,1403.62,1588.49,392,553.92,522.33,642.77,47.47,38.85,23.4106,2388.09,2388.06,8.4116,125
1,51,9047.09,8134.36,1400.42,1585.54,393,553.73,521.91,642.81,47.12,38.94,23.3651,2388.05,2388.02,8.4504,125
1,52,9056.01,8132.82,1395.57,1583.77,391,553.04,522.1,642.76,47.07,39.0,23.3388,2388.07,2388.04,8.4539,125
1,53,9051.15,8134.38,1402.26,1579.82,392,554.16,521.96,642.61,47.29,38.9,23.3775,2388.06,2388.05,8.4418,125
1,54,9056.29,8129.95,1401.2,1592.59,392,553.95,522.44,642.42,47.38,38.96,23.2348,2388.06,2388.04,8.4189,125
1,55,9048.94,8134.1,1401.58,1584.95,392,554.45,522.11,642.41,47.4,39.06,23.3567,2388.02,2388.04,8.4071,125
1,56,9042.42,8135.4,1400.76,1586.33,391,553.98,522.48,642.49,47.26,38.68,23.3408,2388.04,2388.01,8.4022,125
1,57,9050.8,8135.48,1402.79,1583.67,392,553.42,521.62,642.13,47.29,38.84,23.3567,2388.08,2388.05,8.4263,125
1,58,9050.33,8132.08,1397.99,1590.46,390,554.14,522.21,641.9,47.26,38.93,23.2893,2388.04,2388.09,8.4319,125
1,59,9050.06,8128.81,1403.51,1596.72,392,554.62,521.32,642.33,47.26,38.92,23.4444,2388.02,2388.07,8.4476,125
1,60,9051.69,8132.89,1403.07,1582.75,393,554.0,522.49,642.34,47.41,38.89,23.387,2388.03,2388.06,8.3878,125
1,61,9050.58,8131.66,1405.52,1583.55,391,554.09,522.34,642.1,47.31,38.89,23.3638,2388.09,2388.11,8.4264,125
1,62,9053.62,8132.28,1399.54,1581.59,391,554.45,522.19,642.17,47.28,39.03,23.2707,2388.1,2388.1,8.4071,125
1,63,9049.96,8130.73,1395.38,1592.14,394,553.48,521.56,642.6,47.51,38.77,23.3436,2388.01,2388.06,8.4357,125
1,64,9043.67,8128.15,1400.11,1584.51,391,553.88,521.82,642.23,47.45,38.93,23.384,2388.04,2388.1,8.4066,125
1,65,9044.01,8132.94,1403.24,1584.72,392,553.97,521.54,642.28,47.56,38.9,23.3752,2388.13,2388.03,8.4406,125
1,66,9059.45,8128.32,1399.52,1588.5,391,554.0,521.76,642.5,47.14,38.95,23.3152,2388.05,2388.06,8.3911,125
1,67,9050.24,8134.07,1403.02,1590.22,393,554.31,522.64,642.33,47.39,38.97,23.291,2388.08,2388.1,8.3925,125
1,68,9051.78,8132.39,1404.42,1582.06,392,554.04,521.72,642.51,47.36,38.95,23.3174,2388.07,2388.1,8.4242,124
1,69,9050.59,8129.13,1401.24,1590.7,392,554.65,522.22,642.44,47.41,39.0,23.3742,2388.1,2388.07,8.4292,123
1,70,9053.43,8130.36,1402.78,1584.02,392,554.01,521.93,642.22,47.41,38.86,23.4513,2388.12,2388.11,8.4279,122
1,71,9046.09,8134.28,1403.09,1580.41,391,554.06,521.72,642.21,47.3,38.8,23.3881,2388.09,2388.03,8.423,121
1,72,9054.42,8133.95,1406.81,1579.25,391,553.76,521.97,642.41,47.27,38.84,23.3085,2388.09,2388.07,8.3951,120
1,73,9049.64,8129.85,1397.93,1592.04,391,553.88,522.04,642.29,47.29,39.03,23.3975,2388.1,2388.03,8.404,119
1,74,9045.85,8132.67,1401.48,1584.65,392,554.03,522.25,642.96,47.58,38.8,23.382,2387.97,2388.07,8.4135,118
1,75,9042.32,8130.13,1394.82,1582.32,392,553.6,521.77,641.96,47.22,38.89,23.3521,2388.11,2388.07,8.4621,117
1,76,9056.55,8136.44,1398.94,1589.21,390,553.66,521.58,642.21,47.44,39.02,23.4428,2388.03,2388.02,8.3996,116
1,77,9046.44,8135.25,1400.97,1586.3,393,554.61,521.6,642.55,47.41,38.99,23.275,2388.08,2388.06,8.453,115
1,78,9042.37,8133.91,1404.1,1580.76,392,553.47,522.28,641.99,47.4,38.88,23.3486,2388.16,2388.08,8.3793,114
1,79,9047.86,8135.4,1403.93,1582.46,394,553.77,521.85,642.12,47.35,38.9,23.3121,2388.13,2388.04,8.4132,113
1,80,9043.67,8134.66,1393.58,1591.96,392,553.91,521.52,641.94,47.64,38.89,23.3613,2388.1,2388.06,8.4235,112
1,81,9045.31,8128.87,1402.04,1584.82,392,553.88,521.66,642.73,47.43,38.77,23.373,2388.05,2388.1,8.4247,111
1,82,9048.22,8134.04,1399.17,1589.07,393,554.18,521.95,642.04,47.25,38.89,23.2713,2388.03,2388.1,8.3986,110
1,83,9049.08,8131.32,1406.38,1588.05,391,553.49,521.93,642.66,47.22,38.8,23.3274,2388.05,2388.08,8.4128,109
1,84,9050.47,8131.54,1406.6,1585.52,392,553.91,521.54,642.64,47.38,38.73,23.2653,2388.06,2388.05,8.4139,108
1,85,9056.08,8135.31,1405.96,1590.12,392,554.4,522.3,642.28,47.36,39.01,23.284,2388.05,2388.01,8.4499,107
1,86,9047.26,8130.06,1403.56,1588.8,394,553.69,521.82,641.84,47.38,38.94,23.3945,2388.09,2388.1,8.4173,106
1,87,9050.52,8130.41,1413.1,1586.69,391,554.1,521.43,642.33,47.34,38.88,23.3402,2388.06,2388.14,8.4326,105
1,88,9046.73,8131.47,1406.09,1581.29,392,554.48,522.2,641.96,47.46,38.9,23.3086,2388.04,2388.07,8.4586,104
1,89,9055.24,8135.15,1402.22,1584.73,392,553.91,521.55,642.24,47.46,38.95,23.3288,2388.08,2388.05,8.4489,103
1,90,9051.27,8129.72,1412.93,1584.38,391,552.88,521.49,642.67,47.32,38.98,23.4712,2388.09,2388.1,8.3961,102
1,91,9050.72,8134.4,1404.76,1584.84,394,553.54,521.55,641.98,47.32,39.11,23.3842,2388.1,2388.04,8.3949,101
1,92,9048.36,8131.39,1400.77,1590.03,392,553.81,521.91,642.89,47.45,38.99,23.3522,2388.05,2388.14,8.3982,100
1,93,9047.87,8133.15,1408.48,1593.74,392,554.07,521.43,642.85,47.46,38.86,23.2477,2388.08,2388.07,8.421,99
1,94,9045.83,8132.4,1404.94,1583.27,393,553.86,521.61,642.45,47.48,38.85,23.3758,2388.07,2388.15,8.4524,98
1,95,9048.85,8131.63,1410.1,1577.6,394,553.91,521.92,642.86,47.38,38.76,23.3269,2388.02,2388.02,8.4575,97
1,96,9048.71,8130.69,1395.16,1584.07,392,553.34,521.66,642.19,47.39,38.88,23.3255,2388.06,2388.07,8.4311,96
1,97,9046.1,8128.74,1407.81,1595.77,392,553.4,521.67,642.07,47.46,39.01,23.2963,2388.06,2388.09,8.4105,95
1,98,9045.49,8127.89,1404.56,1591.11,391,552.75,522.31,642.0,47.37,38.96,23.2554,2388.06,2388.06,8.4012,94
1,99,9045.14,8131.77,1406.13,1592.73,393,553.76,521.42,642.46,47.4,38.82,23.2323,2388.1,2388.08,8.4481,93
1,100,9045.72,8132.49,1411.35,1589.63,392,554.22,521.55,642.22,47.64,38.93,23.409,2388.08,2388.07,8.4241,92
1,101,9052.3,8125.97,1403.41,1584.18,391,553.37,521.89,642.75,47.62,38.75,23.4149,2388.08,2388.06,8.4353,91
1,102,9051.36,8130.4,1403.42,1589.11,393,553.42,521.38,642.85,47.49,38.94,23.3653,2388.05,2388.15,8.4561,90
1,103,9053.28,8124.4,1403.21,1581.27,392,553.64,521.41,642.21,47.57,38.69,23.4289,2388.1,2388.09,8.4263,89
1,104,9044.73,8131.89,1406.25,1590.63,392,553.66,522.38,642.29,47.34,38.96,23.3393,2388.09,2388.08,8.4021,88
1,105,9048.36,8134.01,1403.22,1588.28,393,553.11,521.81,642.01,47.31,38.77,23.3857,2388.08,2388.09,8.4326,87
1,106,9049.82,8126.38,1404.45,1589.05,392,553.6,521.51,642.68,47.44,39.08,23.4148,2388.09,2388.08,8.4664,86
1,107,9048.68,8132.4,1407.73,1595.13,396,553.74,521.75,642.53,47.35,39.01,23.4086,2388.07,2388.07,8.4241,85
1,108,9047.03,8131.52,1399.47,1585.91,393,554.43,521.52,643.49,47.61,38.75,23.3032,2388.03,2388.14,8.4133,84
1,109,9051.13,8130.97,1409.1,1586.45,394,553.59,521.62,642.49,47.58,39.05,23.3561,2388.11,2388.1,8.3757,83
1,110,9051.4,8127.16,1401.27,1590.01,393,554.08,522.01,642.55,47.55,39.06,23.2951,2388.12,2388.13,8.4638,82
1,111,9051.64,8132.4,1408.11,1584.38,392,553.49,521.53,642.67,47.62,38.92,23.2135,2388.14,2388.12,8.4447,81
1,112,9051.28,8131.52,1401.84,1586.46,394,553.19,521.9,642.66,47.22,38.84,23.3207,2388.08,2388.06,8.4445,80
1,113,9053.15,8129.32,1406.59,1590.85,393,552.91,521.75,642.68,47.46,38.9,23.3101,2388.16,2388.1,8.458,79
1,114,9046.58,8132.36,1402.97,1588.42,394,554.29,521.68,642.31,47.58,38.89,23.3754,2388.15,2388.07,8.429,78
1,115,9050.37,8127.6,1406.6,1594.84,393,554.13,521.36,642.66,47.43,38.93,23.3022,2388.12,2388.11,8.4345,77
1,116,9049.71,8134.46,1401.99,1580.31,394,554.4,521.6,642.64,47.43,39.03,23.3512,2388.05,2388.08,8.4059,76
1,117,9049.61,8126.12,1409.35,1589.77,391,554.59,521.22,642.38,47.52,38.73,23.1766,2388.1,2388.1,8.4256,75
1,118,9051.12,8135.21,1409.34,1585.67,393,554.25,521.31,642.34,47.55,38.88,23.2966,2388.12,2388.1,8.4197,74
1,119,9045.89,8123.85,1404.46,1596.8,394,553.77,521.46,642.67,47.55,39.01,23.3188,2388.09,2388.1,8.4194,73
1,120,9048.72,8125.57,1407.68,1593.78,393,553.66,521.34,642.81,47.6,38.81,23.3061,2388.1,2388.1,8.4029,72
1,121,9040.97,8133.94,1411.9,1593.56,394,553.7,521.3,642.63,47.44,38.63,23.422,2388.04,2388.07,8.4263,71
1,122,9042.39,8131.81,1413.97,1593.68,393,553.43,520.92,643.3,47.6,38.86,23.2793,2388.12,2388.15,8.4256,70
1,123,9049.44,8129.72,1403.04,1586.66,392,552.64,521.6,643.39,47.41,38.9,23.292,2388.17,2388.12,8.4396,69
1,124,9053.03,8133.82,1402.28,1587.14,393,552.26,521.4,642.48,47.55,38.8,23.2341,2388.13,2388.13,8.4416,68
1,125,9046.16,8126.33,1406.42,1585.47,394,552.44,521.57,642.96,47.63,38.68,23.3039,2388.11,2388.13,8.4079,67
1,126,9049.11,8130.94,1418.5,1582.64,392,553.72,521.35,642.49,47.49,38.85,23.2289,2388.08,2388.05,8.4378,66
1,127,9047.9,8133.0,1399.49,1586.9,393,553.81,521.34,642.99,47.63,38.91,23.2772,2388.1,2388.09,8.4626,65
1,128,9056.59,8132.08,1407.06,1593.87,393,552.74,521.96,642.47,47.62,38.85,23.2641,2388.16,2388.13,8.4413,64
1,129,9046.08,8127.33,1408.42,1591.33,393,552.42,522.02,642.41,47.61,38.84,23.2656,2388.13,2388.09,8.4681,63
1,130,9042.97,8125.29,1412.25,1585.9,394,552.66,521.49,642.7,47.46,38.71,23.3461,2388.07,2388.13,8.3938,62
1,131,9045.1,8126.38,1413.25,1585.78,391,553.7,521.45,643.01,47.7,38.73,23.3435,2388.13,2388.11,8.4328,61
1,132,9044.04,8128.92,1405.76,1596.06,393,553.16,521.64,643.19,47.56,38.53,23.3186,2388.16,2388.17,8.4227,60
1,133,9050.95,8130.93,1410.11,1592.64,394,553.82,521.23,642.45,47.57,38.95,23.2521,2388.09,2388.11,8.4604,59
1,134,9046.16,8131.3,1402.67,1583.62,393,553.2,521.52,642.85,47.75,38.68,23.2833,2388.13,2388.11,8.4293,58
1,135,9050.65,8129.34,1406.83,1585.55,392,553.09,520.99,642.45,47.34,38.85,23.2744,2388.12,2388.14,8.4242,57
1,136,9040.89,8130.43,1404.39,1584.72,393,554.18,521.54,642.84,47.43,38.76,23.1699,2388.11,2388.06,8.4469,56
1,137,9040.55,8128.81,1405.15,1594.69,394,553.39,521.63,642.43,47.89,38.87,23.2593,2388.12,2388.14,8.449,55
1,138,9049.64,8129.67,1413.34,1589.82,392,552.91,521.57,642.79,47.4,39.0,23.3664,2388.18,2388.11,8.4208,54
1,139,9044.81,8124.97,1412.6,1592.28,394,553.25,521.03,643.11,47.67,38.88,23.3422,2388.15,2388.06,8.4621,53
1,140,9055.85,8130.27,1408.36,1590.89,393,552.15,521.27,643.05,47.51,38.82,23.3704,2388.05,2388.17,8.4397,52
1,141,9050.86,8120.93,1415.25,1590.02,394,553.45,521.06,642.39,47.49,39.02,23.2382,2388.16,2388.13,8.4641,51
1,142,9046.61,8124.87,1413.42,1595.29,392,553.11,520.44,642.51,47.59,38.71,23.2816,2388.18,2388.1,8.4291,50
1,143,9050.63,8126.81,1404.21,1593.1,393,553.62,520.98,642.77,47.52,38.79,23.2305,2388.11,2388.13,8.4419,49
1,144,9049.33,8125.47,1405.76,1591.89,393,553.77,521.11,643.09,47.57,38.75,23.2249,2388.17,2388.17,8.4601,48
1,145,9046.92,8130.91,1409.63,1594.92,395,553.03,521.13,642.95,47.54,38.67,23.149,2388.15,2388.13,8.4644,47
1,146,9045.99,8129.19,1408.82,1586.75,392,552.6,521.13,642.72,47.63,38.69,23.3233,2388.12,2388.12,8.4312,46
1,147,9041.24,8126.13,1409.96,1594.85,393,553.09,520.92,642.25,47.8,38.77,23.2684,2388.12,2388.14,8.4428,45
1,148,9040.93,8124.48,1411.89,1590.03,392,552.84,521.08,643.02,47.49,38.77,23.2498,2388.15,2388.16,8.4276,44
1,149,9057.24,8124.34,1410.7,1592.78,394,552.54,521.13,642.9,47.83,38.77,23.2565,2388.15,2388.17,8.4731,43
1,150,9044.76,8122.99,1409.22,1589.01,394,553.57,520.5,643.06,47.6,38.68,23.2082,2388.21,2388.12,8.4726,42
1,151,9048.12,8127.21,1411.94,1592.39,394,552.41,520.94,642.82,47.58,38.56,23.2277,2388.22,2388.14,8.4612,41
1,152,9043.9,8119.0,1420.83,1598.6,395,552.62,520.39,642.67,47.72,38.77,23.2369,2388.19,2388.18,8.4572,40
1,153,9049.43,8124.14,1414.56,1589.17,393,552.68,520.69,642.99,47.74,38.78,23.1719,2388.17,2388.14,8.4435,39
1,154,9049.08,8129.24,1416.07,1597.03,394,552.57,520.72,642.81,47.73,38.82,23.2366,2388.18,2388.14,8.4794,38
1,155,9049.56,8120.41,1414.89,1590.4,394,552.89,521.23,642.83,47.61,38.68,23.2749,2388.17,2388.16,8.4729,37
1,156,9044.21,8128.48,1421.23,1585.61,395,553.24,520.75,643.04,47.58,38.77,23.2791,2388.16,2388.26,8.4432,36
1,157,9053.12,8125.07,1412.47,1598.04,392,552.32,520.94,642.2,47.72,38.67,23.2354,2388.17,2388.14,8.4328,35
1,158,9049.22,8126.33,1410.09,1596.82,394,553.19,520.88,642.88,47.68,38.75,23.2894,2388.22,2388.2,8.4368,34
1,159,9048.06,8127.61,1420.37,1589.54,394,552.18,520.65,642.89,47.76,38.76,23.253,2388.23,2388.13,8.4403,33
1,160,9045.42,8122.68,1418.08,1590.65,396,551.87,520.47,643.45,47.84,38.52,23.2817,2388.22,2388.21,8.4433,32
1,161,9048.06,8126.97,1417.31,1594.2,394,552.8,520.47,643.0,47.77,38.66,23.2962,2388.18,2388.18,8.4405,31
1,162,9044.45,8123.77,1423.48,1592.22,394,552.68,520.44,643.15,47.79,38.78,23.1538,2388.2,2388.15,8.5015,30
1,163,9049.24,8124.06,1421.09,1600.54,393,552.41,520.3,642.85,47.89,38.65,23.1419,2388.2,2388.2,8.5129,29
1,164,9048.92,8124.63,1416.76,1598.96,394,551.9,520.63,643.17,47.7,38.62,23.1761,2388.28,2388.17,8.4803,28
1,165,9039.09,8126.53,1408.09,1597.03,393,552.79,520.69,642.76,47.89,38.59,23.2129,2388.24,2388.19,8.4922,27
1,166,9043.11,8119.14,1422.37,1596.72,395,552.13,520.02,643.34,47.86,38.62,23.145,2388.22,2388.22,8.4663,26
1,167,9042.05,8122.41,1414.72,1593.83,394,552.57,520.49,643.02,47.85,38.77,23.3011,2388.18,2388.23,8.4632,25
1,168,9036.35,8124.44,1415.7,1591.19,393,552.09,520.78,642.68,47.84,38.76,23.277,2388.19,2388.22,8.4925,24
1,169,9055.18,8125.3,1418.05,1590.16,394,552.71,520.44,643.2,47.88,38.58,23.187,2388.18,2388.25,8.4767,23
1,170,9044.03,8121.76,1417.41,1592.71,395,552.02,520.23,642.92,47.86,38.66,23.1615,2388.26,2388.21,8.49,22
1,171,9042.12,8124.87,1414.99,1592.06,395,552.71,519.85,643.26,48.03,38.68,23.2444,2388.22,2388.2,8.4922,21
1,172,9039.1,8120.08,1413.73,1591.71,393,551.69,520.54,643.33,48.07,38.65,23.1585,2388.26,2388.24,8.4595,20
1,173,9048.82,8121.64,1425.27,1590.69,395,552.13,520.11,642.97,47.9,38.59,23.1789,2388.23,2388.22,8.5091,19
1,174,9041.25,8119.17,1422.58,1599.81,393,552.32,520.22,642.64,48.0,38.57,23.0357,2388.21,2388.22,8.4476,18
1,175,9042.66,8125.76,1422.52,1603.29,394,551.64,520.38,643.61,47.86,38.58,23.1573,2388.22,2388.23,8.489,17
1,176,9045.74,8123.8,1422.73,1592.27,394,551.91,519.8,642.86,47.84,38.72,23.2491,2388.2,2388.23,8.4853,16
1,177,9046.2,8120.11,1423.99,1602.02,396,551.93,520.24,643.79,48.03,38.63,23.1673,2388.23,2388.25,8.4779,15
1,178,9046.17,8116.56,1424.65,1605.33,395,552.18,520.2,643.38,48.0,38.65,23.177,2388.2,2388.23,8.477,14
1,179,9044.23,8116.84,1429.45,1592.56,395,551.57,520.38,642.86,48.02,38.77,23.1888,2388.18,2388.26,8.4947,13
1,180,9039.33,8122.57,1417.14,1599.87,395,552.91,519.84,643.58,47.85,38.86,23.007,2388.28,2388.21,8.4737,12
1,181,9038.29,8114.79,1420.64,1596.71,397,551.83,520.43,643.44,48.1,38.34,23.1652,2388.23,2388.23,8.472,11
1,182,9041.23,8119.67,1426.62,1602.08,397,551.9,520.46,644.21,47.98,38.43,23.1787,2388.25,2388.26,8.5158,10
1,183,9040.94,8117.8,1419.03,1597.23,396,551.38,520.05,643.24,48.03,38.56,23.1302,2388.23,2388.21,8.5041,9
1,184,9047.91,8115.61,1432.52,1605.44,395,551.0,519.77,644.07,48.07,38.43,23.0146,2388.28,2388.24,8.5133,8
1,185,9043.71,8113.69,1424.4,1603.46,395,551.64,519.82,643.8,48.15,38.51,23.07,2388.27,2388.29,8.4984,7
1,186,9051.37,8123.45,1426.3,1595.16,397,552.57,520.08,643.51,48.12,38.47,23.0564,2388.25,2388.21,8.5227,6
1,187,9037.71,8115.67,1427.27,1592.1,396,551.08,519.53,643.32,48.23,38.42,23.0822,2388.28,2388.29,8.5218,5
1,188,9037.91,8117.69,1422.78,1602.38,396,551.94,519.79,643.75,48.0,38.51,22.9588,2388.23,2388.31,8.5207,4
1,189,9044.55,8117.51,1428.01,1596.17,395,550.7,519.58,644.18,48.08,38.48,23.1127,2388.33,2388.27,8.5183,3
1,190,9040.58,8112.58,1425.95,1599.22,398,551.29,520.04,643.64,48.33,38.49,23.0675,2388.35,2388.29,8.5223,2
1,191,9042.76,8114.61,1425.77,1602.36,394,550.92,519.57,643.34,48.15,38.45,23.1295,2388.3,2388.28,8.5174,1
1,192,9033.22,8110.93,1427.2,1601.41,396,551.25,520.08,643.54,48.25,38.48,22.9649,2388.32,2388.32,8.5113,0
2,1,9054.72,8137.72,1391.28,1583.84,391,554.53,522.33,641.89,46.93,38.94,23.4585,2388.06,2388.01,8.3905,125
2,2,9051.31,8131.09,1393.13,1587.05,392,554.77,522.7,641.82,47.24,39.06,23.4085,2387.98,2387.98,8.4167,125
2,3,9054.24,8140.58,1398.96,1588.32,391,555.14,522.58,641.55,47.22,39.11,23.425,2387.99,2388.04,8.3802,125
2,4,9058.01,8140.44,1396.08,1584.15,391,554.25,522.49,641.68,47.1,39.13,23.5027,2387.93,2387.98,8.4018,125
2,5,9058.15,8136.67,1402.52,1579.03,390,555.12,522.27,641.73,47.25,39.18,23.4234,2387.94,2388.03,8.3867,125
2,6,9054.07,8133.65,1396.76,1577.5,392,554.98,522.8,641.3,47.05,39.15,23.427,2387.99,2388.04,8.38,125
2,7,9052.67,8136.33,1400.65,1587.49,391,554.84,522.14,642.03,47.1,39.1,23.4718,2388.04,2388.05,8.3941,125
2,8,9055.82,8137.92,1395.39,1590.41,391,554.65,522.77,642.55,47.2,39.11,23.4381,2387.96,2388.01,8.3861,125
2,9,9051.67,8145.29,1395.01,1581.99,390,554.69,522.4,641.98,47.14,39.06,23.4875,2387.98,2388.02,8.3868,125
2,10,9058.88,8138.64,1394.86,1586.37,391,554.63,521.99,641.99,47.21,39.2,23.6005,2387.97,2387.99,8.3982,125
2,11,9053.21,8135.85,1401.29,1589.21,392,554.7,522.2,642.26,47.21,39.23,23.3888,2388.03,2388.01,8.4188,125
2,12,9047.89,8136.49,1401.9,1579.99,392,554.57,521.94,641.64,47.13,39.12,23.4201,2387.97,2387.98,8.3925,125
